ID,Name,Age,Email,City
1,Anna Torres,28,anna.torres@gmail.com,Bogota
2,Carlos Mendez,35,carlos.m@gmail.com,Medellin
3,Lina Gomez,22,lina.gomez22@hotmail.com,Cali
4,Jose Ramirez,40,jose.ramirez@yahoo.com,Barranquilla
5,Maria Fernandez,31,m.fernandez@gmail.com,Bucaramanga
6,Pedro Duarte,26,pedroduarte@outlook.com,Cartagena
7,Sarah Morales,29,sarah.morales@gmail.com,Manizales
8,Andrew Velez,33,andrewv@gmail.com,Pereira
9,Louisa Rios,24,louisa.rios@yahoo.com,Armenia
10,Philip Castro,37,philip.castro@gmail.com,Neiva
